Observation,Cooks_Distance
285,4.4268563254209214e-05
286,0.0008799218810274749
287,0.0008482202836884785
288,1.2787032833500449e-08
289,0.000806849133084682
290,0.004076627516756671
291,0.0007358205155911623
292,2.0110547322194042e-05
293,0.0006352412377233939
294,1.0829759290310868e-05
295,0.0001238704042444378
296,0.000489167537855738
297,0.00037799838228762874
298,0.003126746510312269
299,9.244816483922124e-06
300,0.00041285006422225325
301,0.00025220006655908946
302,0.0013595815529894382
303,0.00029881534930992795
304,6.61301064504492e-05
305,2.5322403527881824e-05
306,0.0009533599599710453
307,3.3263130306507986e-06
308,0.0005848448436636776
309,0.00078048172699878
310,0.00023826596131283932
311,0.0013341424955857766
312,0.0036917256545253934
313,0.005108940000160671
314,0.00010525436583018574
315,0.0005932402285090406
316,2.451244164533335e-05
317,0.00031294003309597794
318,0.00018549684523858214
319,0.0010115097200859677
320,0.004359626198355911
321,1.3112259577967339e-05
322,8.303323394557621e-05
323,0.002402104974650287
324,7.911502510042104e-05
325,0.00023346580538150552
326,0.0004255864594870292
327,0.0010263120266608655
328,0.00039077794611132213
329,0.00010160432144094894
330,4.662172879044473e-06
331,0.0008583241215932658
332,5.444816278871277e-06
333,0.0029029503063911213
334,0.000491769493673667
335,0.00023966467321347536
336,0.002490132571184902
337,0.0017888610759384843
338,0.005829204025242896
339,2.706951167633573e-05
340,0.0014572156615946731
341,8.860917080746999e-05
342,0.0005610084770710147
343,0.00014629284306428848
344,0.007170629450862456
345,0.0019894235148053643
346,0.00019998174721504733
347,0.00019928419495082064
348,0.0002541710189689395
349,0.0014688528009218665
350,1.114820220264843e-07
351,0.000519147935785159
352,2.7436444539788213e-05
353,0.006967843325555395
354,0.006987068600747125
355,2.250015341338592e-05
356,0.0007281163487973709
357,0.00010889005552180628
358,0.002199189669331276
359,0.0006960730754068959
360,8.588112562872234e-06
361,5.621879028223706e-05
362,0.0003812775414768221
363,0.0003323062857665705
364,0.0018515634018453954
365,0.00031133533415335363
366,0.0006220371427702544
367,0.0001978706315461579
368,4.153304922142394e-06
369,0.0004437715567039525
370,0.001028605055133711
371,0.00018797879818912235
372,0.00030919963871314934
373,0.006026273781301406
374,0.0007675803996181251
375,0.00016597417097461174
376,0.0008534911994660686
377,0.000343904596679541
378,0.00017927760578861706
379,0.0034701982324228248
380,0.0006808670646514614
381,0.0006478738941011993
382,0.004166145808691702
383,0.0007089970063096288
384,0.0003113449777816364
385,2.771781768684564e-05
386,0.00020995848594701337
387,0.00020564184154949584
388,0.008069226977545418
389,0.001379963905788808
390,0.0014564144998182554
391,7.241938689299788e-07
392,0.00154136208502164
393,0.0006009694565158434
394,0.0020678344977521686
395,6.625664297986664e-06
396,0.00018887371287123185
397,0.003854005199945267
398,0.00016717612254180033
399,0.008007239447287241
400,7.354452863041794e-07
401,0.00032435370933833914
402,9.282246646702863e-05
403,0.0007913418308943435
404,0.0005640171944872335
405,0.00031982606425760114
406,0.0013816051969652245
407,0.0017034359862056856
408,0.0003291997677626785
409,4.894546750748082e-06
410,0.000969366964854657
411,0.00012475670177980474
412,0.0010274681952872494
413,0.0006366544344128067
414,0.0004787298624859044
415,0.0005152448963878778
416,0.0010005669215329336
417,0.0025235769285272052
418,0.005032038565065917
419,0.0009006449379150834
420,0.0011101996031355195
421,0.002441497325972571
422,0.0033539235491379304
423,0.0001339598670081847
424,2.92117745204083e-05
425,2.714589519389248e-07
426,4.5482785823806474e-05
427,0.0021828345099313825
428,0.00012727517078224334
429,0.001190063664716062
430,0.010015150616644212
431,0.00017787962489114936
432,5.4174919806940636e-05
433,0.0003430481757032804
434,0.00011056515492993177
435,0.00014506082709678437
436,0.0001377566751926088
437,0.0009186823827830278
438,0.0009249779003187318
439,0.00023519169442806366
440,0.00033289399190929766
441,0.0009891313874045237
442,0.000609173484794089
443,0.0027100397272165335
444,0.0029868110814673917
445,0.00014133804893872115
446,0.0004343512027516404
447,2.431615674650317e-06
448,0.0007002490793426785
449,0.0013576225247690023
450,0.00036519132392090194
451,0.0002919321074158163
452,0.00022658525660316188
453,0.0008004173703317836
454,2.8761282547031224e-05
455,6.209219544000179e-05
456,0.0002785171603973221
457,0.0007671668035209893
458,0.0002597070787422473
459,0.0023128645119566524
460,0.0032373491660069934
461,0.0014545916252230668
462,6.179000858861531e-08
463,0.00016508198853696238
464,0.001988291228614971
465,0.0004898992398244173
466,0.001074985765391476
467,0.00037813327810778616
468,7.462570069120102e-05
469,0.000820941551721089
470,4.212849833230183e-06
471,0.0004482994268681922
472,1.2639672029855113e-05
473,0.000956666265334281
474,1.4202596261389181e-05
475,0.0077616347775801234
476,0.00016584978011550418
477,0.000390130091031231
478,0.001039673946688936
479,2.0761830235318367e-05
480,0.0011874421083990687
481,2.0239182716194043e-07
482,0.0007010044714453841
483,0.004248137888548284
484,0.00011711333135089142
485,0.000593443338908924
486,0.0014258495071961161
