Year,Region,Round,Game,Team_A,Team_A_Seed,Team_A_Score,Team_B,Team_B_Seed,Team_B_Score,Winner,Team_A_Rank,Team_A_Conference,Team_A_W-L,Team_A_NetRtg,Team_A_ORtg,Team_A_DRtg,Team_A_AdjT,Team_A_Luck,Team_A_Strength_of_Schedule_NetRtg,Team_A_Strength_of_Schedule_ORtg,Team_A_Strength_of_Schedule_DRtg,Team_A_NCSOS_NetRtg,Team_B_Rank,Team_B_Conference,Team_B_W-L,Team_B_NetRtg,Team_B_ORtg,Team_B_DRtg,Team_B_AdjT,Team_B_Luck,Team_B_Strength_of_Schedule_NetRtg,Team_B_Strength_of_Schedule_ORtg,Team_B_Strength_of_Schedule_DRtg,Team_B_NCSOS_NetRtg,NetRtg_diff,ORtg_diff,DRtg_diff,AdjT_diff,Luck_diff,Strength_of_Schedule_NetRtg_diff,diff_NetRtg,diff_ORtg,diff_DRtg,diff_AdjT,diff_Luck,diff_Strength_of_Schedule_NetRtg,diff_Strength_of_Schedule_ORtg,diff_Strength_of_Schedule_DRtg,diff_NCSOS_NetRtg
2002,West,1,3,Miami (FL),5,80.0,Missouri,12,93.0,0.0,39,BE,24-8,15.77,110.5,94.7,69.1,0.017,5.75,105.0,99.3,-5.03,29,B12,24-12,17.49,116.2,98.7,70.1,-0.01,7.92,108.0,100.0,-0.39,-1.7199999999999989,-5.700000000000003,-4.0,-1.0,0.027,-2.17,-1.7199999999999989,-5.700000000000003,-4.0,-1.0,0.027000000000000003,-2.17,-3.0,-0.7000000000000028,-4.640000000000001
2002,West,1,5,Gonzaga,6,66.0,Wyoming,11,73.0,0.0,24,WCC,28-4,18.51,115.6,97.1,68.5,0.049,1.12,103.7,102.6,4.04,67,MWC,22-9,11.01,107.8,96.7,69.0,0.032,3.51,105.5,102.0,-5.47,7.500000000000002,7.799999999999997,0.3999999999999915,-0.5,0.017,-2.39,7.500000000000002,7.799999999999997,0.3999999999999915,-0.5,0.017,-2.3899999999999997,-1.7999999999999972,0.5999999999999943,9.51
2002,West,1,7,Xavier,7,70.0,Hawaii,10,58.0,1.0,23,A10,26-6,18.6,111.2,92.6,67.0,0.051,5.09,106.7,101.6,5.37,51,WAC,26-6,13.15,110.3,97.2,65.6,0.007,-0.72,102.8,103.5,-9.7,5.450000000000001,0.9000000000000057,-4.6000000000000085,1.4000000000000057,0.044,5.81,5.450000000000001,0.9000000000000057,-4.6000000000000085,1.4000000000000057,0.044,5.81,3.9000000000000057,-1.9000000000000057,15.07
2002,West,2,1,Cincinnati,1,101.0,UCLA,8,105.0,0.0,2,CUSA,31-4,30.19,118.1,87.9,67.4,0.002,6.58,106.3,99.7,3.48,35,P10,21-12,16.34,113.7,97.3,68.1,0.048,12.0,110.1,98.1,8.58,13.85,4.399999999999992,-9.399999999999991,-0.6999999999999886,-0.046,-5.42,13.850000000000001,4.3999999999999915,-9.399999999999991,-0.6999999999999886,-0.046,-5.42,-3.799999999999997,1.6000000000000085,-5.1
2002,West,2,3,Wyoming,11,60.0,Arizona,3,68.0,0.0,67,MWC,22-9,11.01,107.8,96.7,69.0,0.032,3.51,105.5,102.0,-5.47,13,P10,24-10,20.54,119.3,98.8,71.1,0.079,14.22,111.3,97.1,17.56,-9.53,-11.5,-2.0999999999999943,-2.0999999999999943,-0.047,-10.71,-9.53,-11.5,-2.0999999999999943,-2.0999999999999943,-0.047,-10.71,-5.799999999999997,4.900000000000006,-23.029999999999998
2002,West,2,4,Xavier,7,65.0,Oklahoma,2,78.0,0.0,23,A10,26-6,18.6,111.2,92.6,67.0,0.051,5.09,106.7,101.6,5.37,5,B12,31-5,26.04,114.9,88.9,66.5,0.043,8.77,109.0,100.2,-0.45,-7.439999999999998,-3.700000000000003,3.6999999999999886,0.5,0.008,-3.68,-7.439999999999998,-3.700000000000003,3.6999999999999886,0.5,0.008,-3.6799999999999997,-2.299999999999997,1.3999999999999915,5.82
2002,West,3,1,UCLA,8,73.0,Missouri,12,82.0,0.0,35,P10,21-12,16.34,113.7,97.3,68.1,0.048,12.0,110.1,98.1,8.58,29,B12,24-12,17.49,116.2,98.7,70.1,-0.01,7.92,108.0,100.0,-0.39,-1.1499999999999986,-2.5,-1.4000000000000057,-2.0,0.058,4.08,-1.1499999999999986,-2.5,-1.4000000000000057,-2.0,0.058,4.08,2.0999999999999943,-1.9000000000000057,8.97
2002,West,3,2,Arizona,3,67.0,Oklahoma,2,88.0,0.0,13,P10,24-10,20.54,119.3,98.8,71.1,0.079,14.22,111.3,97.1,17.56,5,B12,31-5,26.04,114.9,88.9,66.5,0.043,8.77,109.0,100.2,-0.45,-5.5,4.399999999999992,9.899999999999991,4.599999999999994,0.036,5.450000000000001,-5.5,4.3999999999999915,9.899999999999991,4.599999999999994,0.036000000000000004,5.450000000000001,2.299999999999997,-3.1000000000000085,18.009999999999998
2002,West,4,1,Missouri,12,75.0,Oklahoma,2,81.0,0.0,29,B12,24-12,17.49,116.2,98.7,70.1,-0.01,7.92,108.0,100.0,-0.39,5,B12,31-5,26.04,114.9,88.9,66.5,0.043,8.77,109.0,100.2,-0.45,-8.55,1.2999999999999972,9.799999999999995,3.5999999999999943,-0.053,-0.8499999999999996,-8.55,1.2999999999999972,9.799999999999997,3.5999999999999943,-0.053,-0.8499999999999996,-1.0,-0.20000000000000284,0.06
2002,National,1,1,Maryland,1,97.0,Kansas,1,88.0,1.0,3,ACC,32-4,29.25,119.2,89.9,73.7,0.025,9.88,109.1,99.3,1.62,4,B12,33-4,28.99,118.7,89.7,77.3,0.022,10.66,110.3,99.6,8.32,0.2600000000000015,0.5,0.2000000000000028,-3.5999999999999943,0.003,-0.7799999999999994,0.26000000000000156,0.5,0.20000000000000284,-3.5999999999999943,0.0030000000000000027,-0.7799999999999994,-1.2000000000000028,-0.29999999999999716,-6.7
