Year,Region,Round,Game,Team_A_Seed,Team_A,Team_A_Score,Team_B_Seed,Team_B,Team_B_Score,Winner,Location
2004,Phoenix,1,2,8,Alabama,65,9,Southern Illinois,64,1.0,"at Seattle, WA"
2004,Phoenix,1,3,5,Syracuse,80,12,BYU,75,1.0,"at Denver, CO"
2004,Phoenix,1,4,4,Maryland,86,13,UTEP,83,1.0,"at Denver, CO"
2004,Phoenix,1,5,6,Vanderbilt,71,11,Western Michigan,58,1.0,"at Denver, CO"
2004,Phoenix,1,6,3,NC State,61,14,Louisiana,52,1.0,"at Orlando, FL"
2004,Phoenix,1,7,7,DePaul,76,10,Dayton,69,1.0,"at Buffalo, NY"
2004,Phoenix,1,8,2,UConn,70,15,Vermont,53,1.0,"at Buffalo, NY"
2004,Phoenix,2,1,1,Stanford,67,8,Alabama,70,0.0,"at Seattle, WA"
2004,Phoenix,2,2,5,Syracuse,72,4,Maryland,70,1.0,"at Denver, CO"
2004,Phoenix,2,3,6,Vanderbilt,75,3,NC State,73,1.0,"at Denver, CO"
2004,Phoenix,2,4,7,DePaul,55,2,UConn,72,0.0,"at Buffalo, NY"
2004,Phoenix,3,1,8,Alabama,80,5,Syracuse,71,1.0,"at Phoenix, AZ"
2004,Phoenix,3,2,6,Vanderbilt,53,2,UConn,73,0.0,"at Phoenix, AZ"
2004,Phoenix,4,1,8,Alabama,71,2,UConn,87,0.0,"at Phoenix, AZ"
2004,St. Louis,1,1,1,Kentucky,96,16,Florida A&M,76,1.0,"at Columbus, OH"
2004,St. Louis,1,2,8,Washington,100,9,UAB,102,0.0,"at Columbus, OH"
2004,St. Louis,1,3,5,Providence,58,12,Pacific,66,0.0,"at Kansas City, MO"
2004,St. Louis,1,4,4,Kansas,78,13,UIC,53,1.0,"at Kansas City, MO"
2004,St. Louis,1,5,6,Boston College,58,11,Utah,51,1.0,"at Milwaukee, WI"
2004,St. Louis,1,6,3,Georgia Tech,65,14,Northern Iowa,60,1.0,"at Milwaukee, WI"
2004,St. Louis,1,7,7,Michigan State,66,10,Nevada,72,0.0,"at Seattle, WA"
